x,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
0.0,-27.952700217555563,-22.952700217555567,-17.952700217555567,-12.952700217555565,-7.952700217555563,-2.9527002175555617,2.0472997824444397,7.0472997824444406,12.04729978244444,17.04729978244444,22.04729978244444,27.04729978244444,32.04729978244444,37.04729978244444,42.04729978244444,47.04729978244444,52.04729978244444,57.04729978244444,62.04729978244444,67.04729978244444
25.0,-28.996075161634707,-23.996075161634707,-18.996075161634707,-13.996075161634707,-8.996075161634707,-3.9960751616347068,1.0039248383652932,6.003924838365293,11.003924838365293,16.003924838365293,21.003924838365293,26.003924838365293,31.003924838365293,36.00392483836529,41.00392483836529,46.00392483836529,51.00392483836529,56.00392483836529,61.00392483836529,66.0039248383653
50.0,-30.06700663596093,-25.067006635960933,-20.067006635960936,-15.067006635960933,-10.067006635960933,-5.067006635960932,-0.06700663596092982,4.932993364039072,9.932993364039074,14.932993364039078,19.932993364039078,24.932993364039078,29.932993364039078,34.93299336403908,39.93299336403908,44.93299336403908,49.93299336403908,54.93299336403908,59.93299336403908,64.93299336403908
75.0,-31.16602280511387,-26.16602280511387,-21.16602280511387,-16.16602280511387,-11.166022805113869,-6.166022805113869,-1.1660228051138688,3.833977194886131,8.833977194886131,13.833977194886131,18.83397719488613,23.83397719488613,28.83397719488613,33.83397719488613,38.83397719488613,43.83397719488613,48.83397719488613,53.83397719488613,58.83397719488613,63.83397719488613
100.0,-32.29365505926219,-27.293655059262196,-22.2936550592622,-17.293655059262203,-12.293655059262203,-7.293655059262202,-2.293655059262199,2.706344940737803,7.706344940737806,12.70634494073781,17.706344940737814,22.706344940737804,27.706344940737797,32.706344940737786,37.706344940737786,42.706344940737786,47.706344940737786,52.706344940737786,57.706344940737786,62.706344940737786
125.0,-33.45043777799332,-28.45043777799332,-23.45043777799332,-18.45043777799332,-13.450437777993315,-8.450437777993319,-3.4504377779933204,1.5495622220066778,6.549562222006675,11.549562222006674,16.54956222200667,21.54956222200667,26.54956222200667,31.54956222200667,36.54956222200667,41.54956222200667,46.54956222200667,51.54956222200667,56.54956222200667,61.54956222200667
150.0,-34.636908084388885,-29.636908084388885,-24.63690808438888,-19.636908084388878,-14.636908084388875,-9.636908084388878,-4.636908084388882,0.36309191561111387,5.363091915611111,10.363091915611106,15.363091915611106,20.363091915611115,25.363091915611122,30.363091915611133,35.363091915611136,40.363091915611136,45.363091915611136,50.363091915611136,55.363091915611136,60.363091915611136
175.0,-35.85360558927718,-30.85360558927718,-25.85360558927718,-20.85360558927718,-15.85360558927718,-10.85360558927718,-5.85360558927718,-0.8536055892771799,4.14639441072282,9.14639441072282,14.14639441072282,19.14639441072282,24.14639441072282,29.14639441072282,34.14639441072282,39.14639441072282,44.14639441072282,49.14639441072282,54.14639441072282,59.14639441072282
200.0,-37.10107212560031,-32.101072125600304,-27.101072125600304,-22.101072125600297,-17.101072125600293,-12.101072125600295,-7.1010721256003,-2.1010721256003033,2.898927874399694,7.898927874399689,12.898927874399686,17.898927874399682,22.898927874399682,27.898927874399682,32.89892787439968,37.89892787439968,42.89892787439968,47.89892787439968,52.89892787439968,57.89892787439968
225.0,-38.37985147284429,-33.37985147284429,-28.379851472844283,-23.379851472844283,-18.379851472844283,-13.379851472844281,-8.379851472844281,-3.3798514728442814,1.6201485271557194,6.62014852715572,11.62014852715572,16.62014852715572,21.62014852715572,26.62014852715572,31.62014852715572,36.62014852715572,41.62014852715572,46.62014852715572,51.62014852715572,56.62014852715572
250.0,-39.69048907148958,-34.69048907148957,-29.690489071489573,-24.69048907148957,-19.690489071489566,-14.690489071489564,-9.690489071489568,-4.690489071489571,0.3095109285104263,5.309510928510422,10.309510928510418,15.309510928510415,20.309510928510413,25.309510928510413,30.309510928510413,35.30951092851041,40.30951092851041,45.30951092851041,50.30951092851041,55.30951092851041
275.0,-41.033531727448405,-36.03353172744839,-31.03353172744839,-26.03353172744839,-21.03353172744839,-16.03353172744839,-11.033531727448391,-6.033531727448391,-1.0335317274483913,3.9664682725516087,8.966468272551609,13.966468272551609,18.9664682725516,23.966468272551595,28.966468272551587,33.96646827255158,38.96646827255158,43.96646827255158,48.96646827255158,53.96646827255158
300.0,-42.40952730646664,-37.409527306466636,-32.409527306466636,-27.40952730646664,-22.409527306466643,-17.409527306466646,-12.409527306466645,-7.409527306466641,-2.409527306466638,2.5904726935333646,7.590472693533368,12.590472693533371,17.590472693533375,22.59047269353337,27.590472693533364,32.59047269353336,37.59047269353336,42.59047269353336,47.59047269353336,52.59047269353336
325.0,-43.819024418477554,-38.81902441847755,-33.81902441847755,-28.81902441847754,-23.81902441847754,-18.819024418477532,-13.81902441847753,-8.819024418477534,-3.8190244184775377,1.1809755815224587,6.180975581522455,11.18097558152245,16.180975581522446,21.180975581522446,26.180975581522446,31.180975581522446,36.180975581522446,41.180975581522446,46.180975581522446,51.180975581522446
350.0,-45.26257209190547,-40.26257209190547,-35.26257209190547,-30.26257209190547,-25.26257209190547,-20.26257209190547,-15.262572091905469,-10.262572091905469,-5.262572091905469,-0.2625720919054686,4.737427908094531,9.737427908094531,14.737427908094531,19.73742790809453,24.73742790809453,29.73742790809453,34.73742790809453,39.73742790809453,44.73742790809453,49.73742790809453
375.0,-46.74071943792954,-41.74071943792954,-36.74071943792955,-31.74071943792955,-26.740719437929553,-21.740719437929556,-16.74071943792956,-11.74071943792956,-6.740719437929556,-1.740719437929553,3.2592805620704497,8.259280562070453,13.259280562070455,18.259280562070458,23.259280562070458,28.259280562070458,33.25928056207046,38.25928056207046,43.25928056207046,48.25928056207046
400.0,-48.25401530472774,-43.25401530472774,-38.25401530472774,-33.25401530472774,-28.25401530472774,-23.25401530472774,-18.25401530472774,-13.254015304727742,-8.254015304727742,-3.254015304727743,1.7459846952722562,6.745984695272256,11.745984695272256,16.745984695272256,21.745984695272256,26.745984695272256,31.745984695272256,36.745984695272256,41.745984695272256,46.745984695272256
425.0,-49.803007921733965,-44.80300792173397,-39.80300792173397,-34.80300792173398,-29.80300792173398,-24.80300792173398,-19.803007921733986,-14.803007921733986,-9.803007921733982,-4.803007921733979,0.1969920782660246,5.196992078266028,10.19699207826603,15.196992078266033,20.196992078266035,25.196992078266035,30.196992078266035,35.196992078266035,40.196992078266035,45.196992078266035
450.0,-51.38824453395334,-46.38824453395334,-41.38824453395335,-36.388244533953355,-31.38824453395336,-26.38824453395336,-21.38824453395336,-16.38824453395336,-11.388244533953358,-6.38824453395336,-1.3882445339533618,3.6117554660466364,8.611755466046635,13.611755466046635,18.611755466046635,23.611755466046635,28.611755466046638,33.611755466046645,38.611755466046645,43.611755466046645
